Index,Sinhala Comment
90,බලන්නකො නලින්ගේ පරිනතභාවය අනාගත ජනාධිපතිකෙනෙක් කලුතරන්
91,අනිවාරෙන් ලොකු බලාපොරොත්තුවක්
92,සුපිරි මාධ්යවේදීන් සෙට් එකක්
93,සුරංග කියන්නේ සුපුරිම මාධ්ය වේදියෙක්
94,සජබ පොහොටිිටු යුඑන්පි බත් බැලයො තුන් දෙනා නා ගන්න නා ගැනිල්ලක් යකො තොපි තුන්දෙනා තම තමන්ගෙ ගෞරවයක්වත් තියාගෙන පලයල්ලා අවුරැදු ක් තොපි එකතු වෙලා විනාශ කල රට සති තුනෙන් හදන්න කියන මී හරක් තුන්දෙනා
95,සුරන්ග ඔයාත් බබා වගෙ කඩෙ යනබව පැහැදිලි යිජනතාව වෙනුවෙන් වගෙ පෙන්නමින් වෙන කාගෙදෝ උවමනාවක් ඉටුකරනවා පරන හිටපු එවුන්ට නින්දා කරම්න් සිගිති ආතල් ගන්න මානසික තත්ත්වයක් පෙන්නුම් කරනවා
96,සුරන්ග පාර්ලිමේන්තු අරිමුපොර අනිවාර්යයෙන්ම ඔය ඔක්කොම විසදලා දෙයි
97,නලින්ද මහත්තයෝ ආදරෙයි
98,සිරස ලගටවත් එන්න තාම චැනල් එකක් නෑ
99,සුරංග ඔයානම් කට්ටියගෙ රෙදි ගලවනෝ
100,ඇත්තටම ඔයාට ස්වාධීනව ඉල්ලන්න තිබ්බේඒක පට්ට
101,සුරංග ඒ එක රටකට ඕනී හැම එකෙක්ගෙන්ම
102,පක්ෂයක් ගැන වගකීමක් දන්නැති කිසිම කෙනෙක් මේ වගේ සංවාදයකට ගෙන්නන්න එපා
103,මම මේ වැඩසටහන බලන්න සුරංග අයිය නිසාමයි
104,නැවත නැවත මිනිස්සුන් අහලා බලන්න හැමදෙටම දන්නේ නැහැ දැකලා නැහැ වැඩක් කරලා නැහැ ඕකමනේ කියන්නේ දැනගන්න වැඩක් කරන්න අවස්ථාවක් දෙන්න ඕනේනේ එක තමා ඇත්ත බුද්දිමත් ජනතාව හොද තීරනය ගන්න ඕනේ නොවැම්බර්
105,වැඩිහිටියන්ට නෙවෙයි දේශපාලකයන්ට වඳින්න ඕනෙ නෑ එයාල වරප්රසාද ලබා අපේ බදු මුදලින් පඩි අරගෙනයි බලේ ඉන්නෙ
106,සුරංග ආදරෙයි
107,ජයවේවා
108,සුරංග මුං දෙන්නාට හරිම විපතක්නේ කරලා තියෙන්නේ
109,සුරංග කියන්නේ සිරස ඉතින් සුරංග ඔයා ඉවත්වුනොත් සිරස නෑ කඳ විතරයි
110,මජර දූෂිත ගඳගහන දේශපාලනය අවසන් කල යුතුමයි මහජනයාට වග කියන මාලිමාවේ මහජන ආණ්ඩුවක් නව පුනුරුද යුගයක්
111,සුරංග නිසා බලනවාතනි වැඩ සටහනක් කරමුකෝඔය වග්ෙ
112,පරිප්පු වලටත් බද්දක්
113,මාලිමාව ලස්සන හෙටක් ලස්සන රටක් සිරස ආදරෙයි
114,මනොජ් කවුද බ ඌ අහන එකට නෙමෙයි උත්තර දෙන්නේ වෙන මගුලකටකාලකන්නි
115,මාලිමාවට ජය
116,පවුල් පාලනය ගැන කාලකන්නි ජෙප්පන්ගේ දැන් කථාව කොහොමද
117,තත්ත්වය ගෙනාවේ කවුද සජිත් ගෙ තාත්ත නිකම් භීෂණකාරී තත්ත්වය උදා වුණේ නැහැ
118,හොරු කල්පනාකාරීව කලබල වෙලා පව්
119,නලින්ද සහෝදරයා සුරංග නියමයි
120,ඔතනින් පාර්ලිමේන්තුවට සුදුසු නලින්ද විතරයි
121,වැඩි ෂෝ නැති මාලිමාවට
122,හොර කම තමා සේරම ජාතික ජන බල වේගයට ජයවේවා
123,එකේ බොරු පෝස්ට් බොරු කමෙන්ට් දාන ටොබයි යො මේවට ඇවිල්ලා කමෙන්ට් දාන්න එන්නේ නැද්ද මුන්ට මොළේ නැද්ද මේවා බලලා තේරුම් ගන්න
124,මේ හර්ශනය අවසන් අවස්තාවේ බග් බග් ගගා කියන්න ඕන උංගෙ මෝංගල් සජිය ඉදිරියේ කරන්න බලාපොරොත්තු වෙන දේවල් මේ බූරු වා එකට උපදෙස් දෙනවා සජිය කියන්න ඇති පුළුවන් තරම් එකට මඩ ගහන්න කියල හාං අපි මාලිමාවට කින් ඈංං
125,සර්වජන බලය කියන්නේ හොර පොහොට්ටුවට කියන අලුත් නම මේගොල්ලො මේ ගහන්නේ රාජපක්ෂලාගේ එකක්
126,පවු අප්පා කොල නිල් මුන් තුන්දෙනා රෙදි ගලෝගෙන
