Index,Sinhala Comment
138,අනුරනම් ඩයස්පෝරාවට විකිනිලා ඉවරයි
139,අනුරගෙ මල්ලිද
140,ආං පරීක්ෂණයක් යනවලු බං කෙහෙලියගේ එන්නතක් දෙකක්වත් විදගෙන ලෑස්ති වෙන්ඩ කියපං කියපු උන්ට යන්ඩ
141,නෑ නෑමොලයා
142,ඩයස්පෝරාවෙ කොටි සල්ලි අරන් චන්දෙ කරලා බලයට ආවෙ පච කියලා දැන් ලිඳ ලඟ සංගමෙ ගෑනුවගෙ අරු හොරා මූ හොරා කියන් ඉන්නාවා විතරයි විදුලි බිල න් අඩු කරනවා කියලා ඔන්න දැන් වැඩි කරලා උබලා වගෙ උන්ව චූන් කරන්න තමයි හොරු කතාව දැම්මෙ එතකොට අර එක තීන්ත ඉරයි සතියෙන් අඩු කරනවා කියපුවා තෙල් ගෑස් පාසැල් උපකරණ අත්යවශ්ය භාන්ඩ වල මිල අඩු කරන්න ඕන නෑනෙ තව මිල වැඩි වෙනවා එතකොට නයට පොලියට අරන් කාපන්
143,ඔබතුමා නියමයිඅවංකයිඅපි සිංහලයාඔබ සමගයි අපි එක පවුලක් ජාති භේද එපා
144,ඉටි ගෙඩිය මුගේ කපටිකම තේරුම් ගන්න බැරිනම් තමයි
145,නොදකින් මෝඩයා
146,තඹුත්තේගම
147,සිංහලෙන් හොද ම්නිහ වගේ කතා කරලා දෙමළ බෂාවෙන් මුගේ හිතේ ඉන්න ඇත්ත කෙනා එලියට දාල ජාතිවදේ කතා කරනවා මු කොටියා තමයි
148,එතුමා කියන කතා හදවතින් කියන කතා ඇත්ත කතා ගරුකරමු ඒ කතාවට
149,කොඩකින් මෝඩයා ඕකා කොටියා
150,උබ කියපං බලන්ඩ ඩීල් අනුරයගෙ ගේම් ගනන
151,හා
152,ඔබ හරි
153,මාලිමාව ගුු කරලා දානවා
154,ඇත්ත කියනකොට ඉන්න බෑනෙ උබලට ගූ මාළු මාවට කඩෙ යන සක්කිලියෙක් උබ
155,එවුන්ගෙ හෙළුව හෙලිවෙයි කියලා ඒකයි
156,කියන එක තෙරුන්ගන්නවිහිලු සපයන්න එපා
157,මාළු මාවෙ රෙදි ඉල්ලේ
